eapa_case,entity_name,role,country,source_pdf
EAPA-7844,"CP Kelco U.S., Inc",alleger,,https://www.cbp.gov/sites/default/files/2024-10/10-18-2024_-_trled_-_determination_as_to_evasion_508_compliant_-_7844_-_pv.pdf
EAPA-7846,Shari Pharmachem USA,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-11-2024_-_trled_-_final_determination_notice_508_compliant_-_7846_-_pv.pdf
EAPA-7846,"Deer Park Glycine, LLC",alleger,,https://www.cbp.gov/sites/default/files/2024-09/09-11-2024_-_trled_-_final_determination_notice_508_compliant_-_7846_-_pv.pdf
EAPA-7850,"Mak Chemicals, Inc",importer,,https://www.cbp.gov/sites/default/files/2024-10/10-22-2024_-_trled_-_final_determination_508_compliant_-_7850_-_pv.pdf
EAPA-7850,"Allegation and Initiation CP Kelco U.S., Inc",alleger,,https://www.cbp.gov/sites/default/files/2024-10/10-22-2024_-_trled_-_final_determination_508_compliant_-_7850_-_pv.pdf
EAPA-7853,Foods LLC,importer,,https://www.cbp.gov/sites/default/files/2025-02/01-27-2025_-_trled_-_notice_of_determination_as_to_evasion_7853_-_pv_508_compliant.pdf
EAPA-7853,Just About Foods LLC,alleger,,https://www.cbp.gov/sites/default/files/2025-02/01-27-2025_-_trled_-_notice_of_determination_as_to_evasion_7853_-_pv_508_compliant.pdf
EAPA-7856,Beanomy Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,IYEE Nature Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Kelanch Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Wakodo Household Supply Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Xinshidian Trading,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Zevoky Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,"Kakaivy, Inc",importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Weekaly Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Heniddy Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Ryan James Engineering LLC,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Sunwind Trading,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Anlowo Inc,importer,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7856,Zinus USA Inc,alleger,,https://www.cbp.gov/sites/default/files/2024-09/09-19-24_-_trled_-_final_determination_508_compliant_-_cons_7856_-_pv.pdf
EAPA-7889,JBS Trading LLC,importer,,https://www.cbp.gov/sites/default/files/2025-04/03-26-2025_-_trled_-_notice_of_determination_as_to_evasion_-_7889_-_pv_508-compliant.pdf
EAPA-7889,"CP Kelco U.S., Inc",alleger,,https://www.cbp.gov/sites/default/files/2025-04/03-26-2025_-_trled_-_notice_of_determination_as_to_evasion_-_7889_-_pv_508-compliant.pdf
EAPA-7890,See Certain Oil Co,importer,,https://www.cbp.gov/sites/default/files/2025-02/02-24-2025_-_trled_-_determination_-_7890_-_pv_508_compliant.pdf
EAPA-7890,Amended Final Affirmative Co,importer,,https://www.cbp.gov/sites/default/files/2025-02/02-24-2025_-_trled_-_determination_-_7890_-_pv_508_compliant.pdf
EAPA-7890,Certain Oil Co,importer,,https://www.cbp.gov/sites/default/files/2025-02/02-24-2025_-_trled_-_determination_-_7890_-_pv_508_compliant.pdf
EAPA-7899,"Highland USA International, Inc",importer,,https://www.cbp.gov/sites/default/files/2025-03/03-26-2025_-_trled_-_notice_of_determination_as_to_evasion_508_compliant_-_7899_-_pv_1.pdf
EAPA-7902,Global Natural Ingredients,importer,,https://www.cbp.gov/sites/default/files/2025-01/01-13-2025_-_trled_-_notice_of_determination_as_to_evasion_508_compliant_-_7902_-_pv.pdf
EAPA-7902,"CP Kelco U.S., Inc",alleger,,https://www.cbp.gov/sites/default/files/2025-01/01-13-2025_-_trled_-_notice_of_determination_as_to_evasion_508_compliant_-_7902_-_pv.pdf
EAPA-7907,"Sinoboom North America, LLC",importer,,https://www.cbp.gov/sites/default/files/2025-07/06-30-2025_-_trled_-_notice_of_determination_as_to_evasion_508_compliant_-_7907_-_pv.pdf
EAPA-7913,"CVB Inc. Washington, DC 20001",alleger,,https://www.cbp.gov/sites/default/files/2025-06/05-29-2025%20-%20TRLED%20-%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20-%20%28Cons%207913%29%20-%20PV.pdf
EAPA-7913,Zozonid Inc,counsel,,https://www.cbp.gov/sites/default/files/2025-06/05-29-2025%20-%20TRLED%20-%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20-%20%28Cons%207913%29%20-%20PV.pdf
EAPA-7950,Lotus Health Industry,foreign_supplier,China,https://www.cbp.gov/sites/default/files/2025-09/09-15-2025_-_trled_-_determination_as_to_evasion_508_compliant_-_cons._7950_-_pv.pdf
